City,Longitude,Latitude,Url,Pm10,Pm25,O3,No2,So2,Co
Nowa Ruda,50.579914,16.514422,https://aqicn.org/city/poland/dolnoslaskie/nowa-ruda-srebrna,14,0,0.0,0.0,0.0,0.0
Nowy Sącz,49.619281,20.714403,https://aqicn.org/city/poland/malopolska/nowy-sacz,11,52,19.2,4.7,4.7,0.1
Przemyśl,49.78433889,22.75623889,https://aqicn.org/city/poland/podkarpacki/przemysl-ul.-grunwaldzka,14,45,16.1,4.0,2.3,0.0
Tychy,50.099903,18.990236,https://aqicn.org/city/poland/slaski/tychy--ul.-tolstoja-1,6,0,0.0,7.4,3.0,0.0
Zamość,50.7230879,23.2519686,https://aqicn.org/city/poland/lublin/zamosc,11,47,0.0,4.4,2.4,0.1
Gorzów Wielkopolski,52.73821389,15.22866667,https://aqicn.org/city/poland/lubuski/gorzow-wielkopolski,38,102,1.0,18.3,5.8,0.1
Jelenia Góra,50.91347,15.765659,https://aqicn.org/city/poland/dolnoslaskie/jelenia-gora-oginskiego,11,44,12.6,10.0,6.5,0.1
Wrocław,51.086225,17.012689,https://aqicn.org/city/poland/dolnoslaskie/wroclaw-wisniowa,0,80,0.0,27.5,0.0,0.1
Wałbrzych,50.768729,16.269677,https://aqicn.org/city/poland/dolnoslaskie/walbrzych-wysockiego,14,0,11.9,6.1,6.9,0.1
Legnica,51.2045203,16.180513,https://aqicn.org/city/poland/dolnoslaskie/legnica-rzeczypospolitej,13,0,14.4,8.6,2.0,0.1
Lębork,54.546219,17.74635,https://aqicn.org/city/poland/pomorski/lebork,7,27,17.8,3.1,0.0,1.8
Kędzierzyn-Koźle,50.34960833,18.236575,https://aqicn.org/city/poland/opolski/k-kozle,7,18,16.9,5.8,3.5,0.1
Gdańsk,54.353333333333,18.635277777778,https://aqicn.org/city/poland/gdansk/gdansk-srodmiescie,39,102,0.0,9.1,0.0,2.1
Katowice,50.264611,18.975028,https://aqicn.org/city/poland/slaski/katowice--ul-kossutha-6,10,31,14.0,12.0,2.9,0.0
Piła,53.15440833,16.75957222,https://aqicn.org/city/poland/wielkopolski/pila-ul.-kusocinskiego,40,0,0.0,10.7,0.0,0.1
Szczecinek,53.6989,16.70457222,https://aqicn.org/city/poland/szczecinie/szczecinek-ul.-przemyslowa,38,0,0.0,13.0,1.3,0.1
Tczew,54.085833333333,18.7875,https://aqicn.org/city/poland/gdansk/tczew,21,0,0.0,23.7,0.0,2.6
Wodzisław Śląski,50.007629,18.455548,https://aqicn.org/city/poland/slaski/wodzislaw--galczynskiego-1,15,0,18.6,5.7,2.0,0.1
