City,Longitude,Latitude,Temperature_cel,Temperature_fah,Feels_like_cel,Feels_like_fah,Wind_speed,Humidity,Pressure,Degree,Description,Sunrise_time,Sunset_time,Voivodeship,Province
 Brzeg Głogowski,15.9154,51.6969,8.44,47.19,5.06,41.11,6.6,84,1010,224, overcast clouds,07:58:39, 16:09:51,dolnośląskie,powiat głogowski
 Starogard Gdański,18.5264,53.964,8.45,47.21,4.49,40.08,8.64,100,1002,209, overcast clouds,07:59:17, 15:48:20,pomorskie,powiat starogardzki
 Pułtusk,21.0828,52.7025,5.98,42.76,1.77,35.19,7.01,93,1012,203, broken clouds,07:42:43, 15:44:26,mazowieckie,powiat pułtuski
 Legionowo,20.9266,52.4015,6.08,42.94,2.4,36.32,5.66,87,976,180, broken clouds,07:41:54, 15:46:30,mazowieckie,powiat legionowski
 Kędzierzyn-Koźle,18.2261,50.3498,7.11,44.8,3.25,37.85,6.91,84,1016,208, overcast clouds,07:43:28, 16:06:33,opolskie,powiat kędzierzyńsko-kozielki
 Kętrzyn,21.3753,54.0768,6.11,43.0,1.32,34.38,9.03,79,1009,199, broken clouds,07:48:29, 15:36:20,warmińsko-mazurskie,powiat kętrzyński
 Jędrzejów,20.3045,50.6394,3.41,38.14,3.41,38.14,0.89,73,1014,181, broken clouds,07:36:24, 15:56:59,świętokrzyskie,powiat jędrzejewski
 Trzebnica,17.0633,51.3108,7.8,46.04,4.41,39.94,6.1,78,1012,220, overcast clouds,07:52:19, 16:07:00,dolnośląskie,powiat trzebnicki
 Szczawno-Zdrój,16.2566,50.8035,5.96,42.73,2.34,36.21,5.44,83,1013,218, overcast clouds,07:53:18, 16:12:29,dolnośląskie,powiat Wałbrzych
 Proszowice,20.2891,50.1927,5.01,41.02,2.38,36.28,3.19,73,1017,210, broken clouds,07:34:33, 15:58:57,małopolskie,powiat proszowicki
 Stalowa Wola,22.0533,50.5829,3.64,38.55,1.54,34.77,2.24,84,1016,220, overcast clouds,07:29:10, 15:50:14,podkarpackie,powiat stalowowolski
 Jasło,21.4725,49.7451,3.13,37.63,-1.19,29.86,5.38,87,1018,190, broken clouds,07:27:57, 15:56:05,podkarpackie,powiat jasielski
 Nidzica,20.4275,53.3605,5.77,42.39,1.31,34.36,7.58,80,1010,206, overcast clouds,07:48:35, 15:43:49,warmińsko-mazurskie,powiat nidzicki
 Sokolec,16.4731,50.6544,5.37,41.67,4.59,40.26,1.34,89,1014,135, overcast clouds,07:51:47, 16:12:16,dolnośląskie,powiat kłodzki
 Opole,18.0,50.5,4.46,40.03,0.44,32.79,5.48,83,1015,201, overcast clouds,07:45:01, 16:06:49,opolskie,powiat krapkowicki
 Jarczew,21.9569,51.8144,3.45,38.21,-1.11,30.0,6.09,89,1015,199, overcast clouds,07:35:02, 15:45:08,lubelskie,powiat łukowski
 Nieszawa,18.8992,52.8345,7.26,45.07,3.17,37.71,7.8,84,1010,212, overcast clouds,07:52:05, 15:52:32,kujawsko-pomorskie,powiat aleksandrowski
 Tarnów,20.987,50.0138,2.97,37.35,-0.2,31.64,3.35,87,1018,181, broken clouds,07:31:00, 15:56:55,małopolskie,powiat Tarnów
 Szczawnica,20.4849,49.4244,1.98,35.56,-0.73,30.69,2.56,94,1020,186, overcast clouds,07:30:35, 16:01:21,małopolskie,powiat nowotarski
 Parzniewice,19.5171,51.2982,5.04,41.07,0.6,33.08,6.9,77,1014,216, overcast clouds,07:42:27, 15:57:14,łódzkie,powiat piotrkowski
 Gryfice,15.2003,53.9165,10.57,51.03,9.95,49.91,8.73,87,1003,215, overcast clouds,08:12:20, 16:01:54,zachodniopomorskie,powiat gryficki
 Sanok,22.2056,49.5557,2.64,36.75,-1.64,29.05,5.04,100,1019,196, few clouds,07:24:14, 15:53:56,podkarpackie,powiat sanocki
 Widuchowa,14.3907,53.1269,9.5,49.1,5.84,42.51,8.73,83,1005,220, overcast clouds,08:11:33, 16:09:09,zachodniopomorskie,powiat gryfiński
 Bogatynia,14.9563,50.9075,7.4,45.32,4.58,40.24,4.47,87,1009,206, overcast clouds,07:58:57, 16:17:14,dolnośląskie,powiat zgorzelecki
 Ostrowiec Świętokrzyski,21.3853,50.9294,2.6,36.68,-1.51,29.28,4.71,85,1017,198, broken clouds,07:33:20, 15:51:24,świętokrzyskie,powiat ostrowiecki
 Kostrza,16.2649,50.9851,6.9,44.42,3.32,37.98,5.96,80,1013,220, overcast clouds,07:54:03, 16:11:39,dolnośląskie,powiat świdnicki
 Brześć Kujawski,18.9017,52.6053,9.0,48.2,5.44,41.79,7.76,85,1010,212, overcast clouds,07:50:58, 15:53:38,kujawsko-pomorskie,powiat włocławski
 Przemyśl,22.7673,49.785,2.84,37.11,0.22,32.4,2.63,88,1019,184, few clouds,07:22:56, 15:50:44,podkarpackie,powiat Przemyśl
 Międzyrzecz,15.578,52.4446,9.04,48.27,5.73,42.31,6.93,82,1008,223, overcast clouds,08:03:29, 16:07:43,lubuskie,powiat międzyrzecki
 Katowice,19.0275,50.2584,4.91,40.84,3.03,37.45,2.24,86,1014,199, overcast clouds,07:39:52, 16:03:44,śląskie,powiat Katowice
 Korsze,21.1392,54.17,6.7,44.06,2.1,35.78,8.99,78,1008,202, overcast clouds,07:49:55, 15:36:47,warmińsko-mazurskie,powiat kętrzyński
 Dorohusk,23.8032,51.1548,2.17,35.91,-2.09,28.24,4.79,89,1018,195, few clouds,07:24:40, 15:40:43,lubelskie,powiat chełmski
 Sochaczew,20.2384,52.2294,5.7,42.26,1.38,34.48,7.09,87,1013,212, overcast clouds,07:43:50, 15:50:04,mazowieckie,powiat sochaczewski
 Międzyrzec Podlaski,22.7825,51.9864,3.95,39.11,-0.36,31.35,5.83,89,1016,196, scattered clouds,07:32:32, 15:41:01,lubelskie,powiat bialski
 Koszalin,16.1722,54.1944,8.85,47.93,5.1,41.18,8.3,83,1003,218, overcast clouds,08:09:54, 15:56:33,zachodniopomorskie,powiat Koszalin
 Prudnik,17.5746,50.3212,6.95,44.51,4.02,39.24,4.47,84,1015,218, overcast clouds,07:45:57, 16:09:17,opolskie,powiat prudnicki
 Polańczyk,22.4211,49.3697,0.94,33.69,-2.9,26.78,3.67,100,1020,194, broken clouds,07:22:37, 15:53:50,podkarpackie,powiat leski
 Krempna,21.5004,49.5113,2.42,36.36,-1.74,28.87,4.72,100,1020,183, broken clouds,07:26:52, 15:56:56,podkarpackie,powiat jasielski
 Zamość,23.252,50.7231,3.66,38.59,-0.38,31.32,5.08,88,1018,202, few clouds,07:24:58, 15:44:49,lubelskie,powiat Zamość
 Kołuda Wielka,18.1489,52.7344,8.51,47.32,6.93,44.47,2.68,69,1005,0, overcast clouds,07:54:36, 15:56:02,kujawsko-pomorskie,powiat inowrocławski
 Andrychów,19.3383,49.855,3.65,38.57,0.36,32.65,3.75,96,1017,208, overcast clouds,07:36:56, 16:04:11,małopolskie,powiat wadowicki
 Środa Śląska,16.5951,51.1641,8.28,46.9,4.89,40.8,6.48,76,1012,225, overcast clouds,07:53:32, 16:09:32,dolnośląskie,powiat średzki
 Chełmża,18.6047,53.1846,7.28,45.1,3.11,37.6,8.08,85,1009,210, overcast clouds,07:54:59, 15:51:59,kujawsko-pomorskie,powiat toruński
